Ticker,Company,Sector,MarketCapCategory,Index
RELIANCE.NS,Reliance Industries,Energy,Large Cap,NIFTY50
TCS.NS,Tata Consultancy Services,IT,Large Cap,NIFTY50
HDFCBANK.NS,HDFC Bank,Financials,Large Cap,NIFTY50
ICICIBANK.NS,ICICI Bank,Financials,Large Cap,NIFTY50
INFY.NS,Infosys,IT,Large Cap,NIFTY50
BHARTIARTL.NS,Bharti Airtel,Telecom,Large Cap,NIFTY50
LT.NS,Larsen & Toubro,Industrials,Large Cap,NIFTY50
ITC.NS,ITC,Consumer,Large Cap,NIFTY50
SBIN.NS,State Bank of India,Financials,Large Cap,NIFTY50
AXISBANK.NS,Axis Bank,Financials,Large Cap,NIFTY50
KOTAKBANK.NS,Kotak Mahindra Bank,Financials,Large Cap,NIFTY50
HINDUNILVR.NS,Hindustan Unilever,Consumer,Large Cap,NIFTY50
MARUTI.NS,Maruti Suzuki,Auto,Large Cap,NIFTY50
SUNPHARMA.NS,Sun Pharmaceutical,Healthcare,Large Cap,NIFTY50
M&M.NS,Mahindra & Mahindra,Auto,Large Cap,NIFTY50
TITAN.NS,Titan Company,Consumer,Large Cap,NIFTY50
NTPC.NS,NTPC,Utilities,Large Cap,NIFTY50
POWERGRID.NS,Power Grid,Utilities,Large Cap,NIFTY50
TATASTEEL.NS,Tata Steel,Materials,Large Cap,NIFTY50
ADANIENT.NS,Adani Enterprises,Industrials,Large Cap,NIFTY50
